bio_id,speaker_name,chamber,state,gender,total_words,total_keywords,total_god_mentions,total_biblical_references
G000574,Mr. GALLEGO,House,AZ,M,81044,3,3,0
H001072,Mr. HILL of Arkansas,House,AR,M,274795,33,22,0
H001080,Ms. HAALAND,House,NM,F,26669,0,0,0
B001303,Ms. BLUNT ROCHESTER,House,DE,F,33065,2,1,0
G000584,Mr. GIANFORTE,House,MT,M,72498,3,8,0
P000597,Ms. PINGREE,House,ME,F,198698,3,1,0
H001038,Mr. HIGGINS of New York,House,NY,M,463026,66,84,0
B001287,Mr. BERA,House,CA,M,58936,4,4,0
U000040,Ms. UNDERWOOD,House,IL,F,37738,1,1,0
L000582,Mr. TED LIEU of California,House,CA,M,101190,15,7,0
W000825,Ms. WEXTON,House,VA,F,29856,1,1,0
S001206,Ms. SHALALA,House,FL,F,35710,3,0,0
L000592,Mr. LEVIN of Michigan,House,MI,M,73230,11,9,0
S001216,Ms. SCHRIER,House,WA,F,26593,0,0,0
S001205,Ms. SCANLON,House,PA,F,151911,7,5,0
P000593,Mr. PERLMUTTER,House,CO,M,606728,31,17,0
C001080,Ms. JUDY CHU of California,House,CA,F,184320,3,2,0
D000598,Mrs. DAVIS of California,House,CA,F,308617,9,6,0
Q000023,Mr. QUIGLEY,House,IL,M,278322,15,15,0
G000560,Mr. GRAVES of Georgia,House,GA,M,129442,13,12,0
L000480,Mrs. LOWEY,House,NY,F,624388,18,20,0
G000377,Ms. GRANGER,House,TX,F,215641,54,38,0
M001156,Mr. McHENRY,House,NC,M,286364,44,15,0
W000187,Ms. WATERS,House,CA,F,1114969,78,62,1
C001111,Mr. CRIST,House,FL,M,19987,19,17,1
G000586,Mr. GARCIA of Illinois,House,IL,M,43085,1,0,0
L000551,Ms. LEE of California,House,CA,F,1354744,239,161,2
C001078,Mr. CONNOLLY,House,VA,M,863189,223,64,0
S000185,Mr. SCOTT of Virginia,House,VA,M,996001,101,65,0
W000791,Mr. WALDEN,House,OR,M,614886,39,39,4
D000399,Mr. DOGGETT,House,TX,M,626694,20,29,0
R000582,Mr. DAVID P. ROE of Tennessee,House,TN,M,361759,39,31,0
N000002,Mr. NADLER,House,NY,M,1052965,155,112,2
