Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Mike Turner,Republican,Ohio's 10th,Unspecified Protestant,,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463,T000463
Troy Balderson,Republican,Ohio's 12th,Unspecified Protestant,,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306,B001306
Kevin Hern,Republican,Oklahoma's 1st,Unspecified Protestant,,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082,H001082
Josh Brecheen,Republican,Oklahoma's 2nd,Unspecified Protestant,,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317,B001317
Scott Perry,Republican,Pennsylvania's 10th,Unspecified Protestant,,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605,P000605
Summer Lee,Democratic,Pennsylvania's 12th,Unspecified Protestant,,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602,L000602
Guy Reschenthaler,Republican,Pennsylvania's 14th,Unspecified Protestant,,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610,R000610
Glenn Thompson,Republican,Pennsylvania's 15th,Unspecified Protestant,,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467,T000467
William Timmons,Republican,South Carolina's 4th,Unspecified Protestant,,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480,T000480
Dusty Johnson,Republican,South Dakota's at-large,Unspecified Protestant,,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301,J000301
Andy Ogles,Republican,Tennessee's 5th,Unspecified Protestant,,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175,O000175
Mark E. Green,Republican,Tennessee's 7th,Unspecified Protestant,,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545,G000545
Keith Self,Republican,Texas's 3rd,Unspecified Protestant,,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224,S001224
Jake Ellzey,Republican,Texas's 6th,Unspecified Protestant,,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071,E000071
Morgan Luttrell,Republican,Texas's 8th,Unspecified Protestant,,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603,L000603
August Pfluger,Republican,Texas's 11th,Unspecified Protestant,,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048,P000048
Troy Nehls,Republican,Texas's 22nd,Unspecified Protestant,,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026,N000026
Roger Williams,Republican,Texas's 25th,Unspecified Protestant,,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816,W000816
Michael Cloud,Republican,Texas's 27th,Unspecified Protestant,,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115,C001115
Bob Good,Republican,Virginia's 5th,Unspecified Protestant,,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595,G000595
Abigail Spanberger,Democratic,Virginia's 7th,Unspecified Protestant,,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209,S001209
Morgan Griffith,Republican,Virginia's 9th,Unspecified Protestant,,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568,G000568
Marilyn Strickland,Democratic,Washington's 10th,Unspecified Protestant,,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159,S001159
Derrick Van Orden,Republican,Wisconsin's 3rd,Unspecified Protestant,,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135,V000135
Tom Tiffany,Republican,Wisconsin's 7th,Unspecified Protestant,,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165,T000165
Jerry Carl,Republican,Alabama's 1st,Baptist,,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054,C001054
Barry Moore,Republican,Alabama's 2nd,Baptist,,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212,M001212
Mike D. Rogers,Republican,Alabama's 3rd,Baptist,,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572,R000572
Dale Strong,Republican,Alabama's 5th,Baptist,,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220,S001220
Debbie Lesko,Republican,Arizona's 8th,Baptist,,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589,L000589
Rick Crawford,Republican,Arkansas's 1st,Baptist,,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087,C001087
Steve Womack,Republican,Arkansas's 3rd,Baptist,,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809,W000809
Bruce Westerman,Republican,Arkansas's 4th,Baptist,,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821,W000821
Tom McClintock,Republican,California's 5th,Baptist,,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177,M001177
Barbara Lee,Democratic,California's 12th,Baptist,Lapsed,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551,L000551
Matt Gaetz,Republican,Florida's 1st,Baptist,,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578,G000578
Maxwell Frost,Democratic,Florida's 10th,Baptist,,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476,F000476
Daniel Webster,Republican,Florida's 11th,Baptist,,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806,W000806
Vern Buchanan,Republican,Florida's 16th,Baptist,,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260,B001260
Sanford Bishop,Democratic,Georgia's 2nd,Baptist,,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490,B000490
Austin Scott,Republican,Georgia's 8th,Baptist,,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189,S001189
Andrew Clyde,Republican,Georgia's 9th,Baptist,,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116,C001116
Barry Loudermilk,Republican,Georgia's 11th,Baptist,,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583,L000583
David Scott,Democratic,Georgia's 13th,Baptist,,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157,S001157
Jonathan Jackson,Democratic,Illinois's 1st,Baptist,,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309,J000309
Danny K. Davis,Democratic,Illinois's 7th,Baptist,,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096,D000096
Mike Bost,Republican,Illinois's 12th,Baptist,,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295,B001295
Rudy Yakym,Republican,Indiana's 2nd,Baptist,,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067,Y000067
James Comer,Republican,Kentucky's 1st,Baptist,,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108,C001108
Hal Rogers,Republican,Kentucky's 5th,Baptist,,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395,R000395
Troy Carter,Democratic,Louisiana's 2nd,Baptist,,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125,C001125
Mike Johnson,Republican,Louisiana's 4th,Baptist,,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299,J000299
Ayanna Pressley,Democratic,Massachusetts's 7th,Baptist,,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617,P000617
Steny Hoyer,Democratic,Maryland's 5th,Baptist,,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874,H000874
Sam Graves,Republican,Missouri's 6th,Baptist,,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546,G000546
Kweisi Mfume,Democratic,Maryland's 7th,Baptist,,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687,M000687
Michael Guest,Republican,Mississippi's 3rd,Baptist,,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591,G000591
Mike Ezell,Republican,Mississippi's 4th,Baptist,,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235,E000235
Valerie Foushee,Democratic,North Carolina's 4th,Baptist,,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477,F000477
David Rouzer,Republican,North Carolina's 7th,Baptist,,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603,R000603
Alma Adams,Democratic,North Carolina's 12th,Baptist,,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370,A000370
Donald Payne Jr.,Democratic,New Jersey's 10th,Baptist,,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149,P000149
Bonnie Watson Coleman,Democratic,New Jersey's 12th,Baptist,,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822,W000822
Steven Horsford,Democratic,Nevada's 4th,Baptist,,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066,H001066
Hakeem Jeffries,Democratic,New York's 8th,Baptist,,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294,J000294
Joyce Beatty,Democratic,Ohio's 3rd,Baptist,,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281,B001281
Shontel Brown,Democratic,Ohio's 11th,Baptist,,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313,B001313
Emilia Sykes,Democratic,Ohio's 13th,Baptist,,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223,S001223
Frank Lucas,Republican,Oklahoma's 3rd,Baptist,,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491,L000491
Dwight Evans,Democratic,Pennsylvania's 3rd,Baptist,,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296,E000296
Jeff Duncan,Republican,South Carolina's 3rd,Baptist,,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615,D000615
Russell Fry,Republican,South Carolina's 7th,Baptist,,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478,F000478
Diana Harshbarger,Republican,Tennessee's 1st,Baptist,,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086,H001086
Nathaniel Moran,Republican,Texas's 1st,Baptist,,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224,M001224
Al Green,Democratic,Texas's 9th,Baptist,,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553,G000553
Randy Weber,Republican,Texas's 14th,Baptist,,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814,W000814
Chip Roy,Republican,Texas's 21st,Baptist,,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614,R000614
Jasmine Crockett,Democratic,Texas's 30th,Baptist,,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130,C001130
Marc Veasey,Democratic,Texas's 33rd,Baptist,,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131,V000131
Brian Babin,Republican,Texas's 36th,Baptist,,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291,B001291
Wesley Hunt,Republican,Texas's 38th,Baptist,,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095,H001095
Gwen Moore,Democratic,Wisconsin's 4th,Baptist,,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160,M001160
Carol Miller,Republican,West Virginia's 1st,Baptist,,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205,M001205
