Representative,Party,District,Religion,Notes,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide,bioguide
Darin LaHood,Republican,Illinois's 16th,Latin Catholic,,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585,L000585
Frank J. Mrvan,Democratic,Indiana's 1st,Latin Catholic,,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214,M001214
Greg Pence,Republican,Indiana's 6th,Latin Catholic,,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615,P000615
Mariannette Miller-Meeks,Republican,Iowa's 1st,Latin Catholic,,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215,M001215
Zach Nunn,Republican,Iowa's 3rd,Latin Catholic,,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193,N000193
Jake LaTurner,Republican,Kansas's 2nd,Latin Catholic,,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266,L000266
Steve Scalise,Republican,Louisiana's 1st,Latin Catholic,,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176,S001176
Garret Graves,Republican,Louisiana's 6th,Latin Catholic,,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577,G000577
Andy Harris,Republican,Maryland's 1st,Latin Catholic,,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052,H001052
Richard Neal,Democratic,Massachusetts's 1st,Latin Catholic,,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015,N000015
Jim McGovern,Democratic,Massachusetts's 2nd,Latin Catholic,,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312,M000312
Lori Trahan,Democratic,Massachusetts's 3rd,Latin Catholic,,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482,T000482
Stephen F. Lynch,Democratic,Massachusetts's 8th,Latin Catholic,,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562,L000562
Bill Keating,Democratic,Massachusetts's 9th,Latin Catholic,,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037,K000037
Debbie Dingell,Democratic,Michigan's 6th,Latin Catholic,,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624,D000624
Dan Kildee,Democratic,Michigan's 8th,Latin Catholic,,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380,K000380
Lisa McClain,Republican,Michigan's 9th,Latin Catholic,,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136,M001136
Brad Finstad,Republican,Minnesota's 1st,Latin Catholic,,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475,F000475
Betty McCollum,Democratic,Minnesota's 4th,Latin Catholic,,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143,M001143
Tom Emmer,Republican,Minnesota's 6th,Latin Catholic,,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294,E000294
Michelle Fischbach,Republican,Minnesota's 7th,Latin Catholic,,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470,F000470
Pete Stauber,Republican,Minnesota's 8th,Latin Catholic,,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212,S001212
Ann Wagner,Republican,Missouri's 2nd,Latin Catholic,,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812,W000812
Blaine Luetkemeyer,Republican,Missouri's 3rd,Latin Catholic,,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569,L000569
Matt Rosendale,Republican,Montana's 2nd,Latin Catholic,,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103,R000103
Mike Flood,Republican,Nebraska's 1st,Latin Catholic,,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474,F000474
Susie Lee,Democratic,Nevada's 3rd,Latin Catholic,,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590,L000590
Jeff Van Drew,Republican,New Jersey's 2nd,Latin Catholic,,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133,V000133
Chris Smith,Republican,New Jersey's 4th,Latin Catholic,,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522,S000522
Frank Pallone,Democratic,New Jersey's 6th,Latin Catholic,,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034,P000034
Rob Menendez,Democratic,New Jersey's 8th,Latin Catholic,,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639,M000639
Bill Pascrell,Democratic,New Jersey's 9th,Latin Catholic,,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096,P000096
Mikie Sherrill,Democratic,New Jersey's 11th,Latin Catholic,,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207,S001207
Gabe Vasquez,Democratic,New Mexico's 2nd,Latin Catholic,,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136,V000136
Teresa Leger Fernandez,Democratic,New Mexico's 3rd,Latin Catholic,,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273,L000273
Nick LaLota,Republican,New York's 1st,Latin Catholic,,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598,L000598
Andrew Garbarino,Republican,New York's 2nd,Latin Catholic,,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597,G000597
Anthony D'Esposito,Republican,New York's 4th,Latin Catholic,,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632,D000632
Nydia Velázquez,Democratic,New York's 7th,Latin Catholic,,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081,V000081
Adriano Espaillat,Democratic,New York's 13th,Latin Catholic,,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297,E000297
Alexandria Ocasio-Cortez,Democratic,New York's 14th,Latin Catholic,,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172,O000172
Mike Lawler,Republican,New York's 17th,Latin Catholic,,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599,L000599
Pat Ryan,Democratic,New York's 18th,Latin Catholic,,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579,R000579
Paul Tonko,Democratic,New York's 20th,Latin Catholic,,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469,T000469
Elise Stefanik,Republican,New York's 21st,Latin Catholic,,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196,S001196
Joseph Morelle,Democratic,New York's 25th,Latin Catholic,,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206,M001206
Brian Higgins,Democratic,New York's 26th,Latin Catholic,,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038,H001038
Greg Murphy,Republican,North Carolina's 3rd,Latin Catholic,,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210,M001210
Virginia Foxx,Republican,North Carolina's 5th,Latin Catholic,,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450,F000450
Patrick McHenry,Republican,North Carolina's 10th,Latin Catholic,,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156,M001156
Brad Wenstrup,Republican,Ohio's 2nd,Latin Catholic,,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815,W000815
Bob Latta,Republican,Ohio's 5th,Latin Catholic,,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566,L000566
Marcy Kaptur,Democratic,Ohio's 9th,Latin Catholic,,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009,K000009
David Joyce,Republican,Ohio's 14th,Latin Catholic,,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295,J000295
Mike Carey,Republican,Ohio's 15th,Latin Catholic,,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126,C001126
Stephanie Bice,Republican,Oklahoma's 5th,Latin Catholic,Convert,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740,B000740
Cliff Bentz,Republican,Oregon's 2nd,Latin Catholic,,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668,B000668
Val Hoyle,Democratic,Oregon's 4th,Latin Catholic,,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094,H001094
Lori Chavez-DeRemer,Republican,Oregon's 5th,Latin Catholic,,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135,C001135
Andrea Salinas,Democratic,Oregon's 6th,Latin Catholic,,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226,S001226
Brian Fitzpatrick,Republican,Pennsylvania's 1st,Latin Catholic,,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466,F000466
Brendan Boyle,Democratic,Pennsylvania's 2nd,Latin Catholic,,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296,B001296
Madeleine Dean,Democratic,Pennsylvania's 4th,Latin Catholic,,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631,D000631
Mary Gay Scanlon,Democratic,Pennsylvania's 5th,Latin Catholic,,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205,S001205
Matt Cartwright,Democratic,Pennsylvania's 8th,Latin Catholic,,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090,C001090
Dan Meuser,Republican,Pennsylvania's 9th,Latin Catholic,,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204,M001204
John Joyce,Republican,Pennsylvania's 13th,Latin Catholic,,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302,J000302
Mike Kelly,Republican,Pennsylvania's 16th,Latin Catholic,,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376,K000376
Chris Deluzio,Democratic,Pennsylvania's 17th,Latin Catholic,,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530,D000530
Gabe Amo,Democratic,Rhode Island's 1st,Latin Catholic,,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380,A000380
Chuck Fleischmann,Republican,Tennessee's 3rd,Latin Catholic,,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459,F000459
Pat Fallon,Republican,Texas's 4th,Latin Catholic,,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246,F000246
Michael McCaul,Republican,Texas's 10th,Latin Catholic,,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157,M001157
Veronica Escobar,Democratic,Texas's 16th,Latin Catholic,,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299,E000299
Joaquin Castro,Democratic,Texas's 20th,Latin Catholic,,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091,C001091
Tony Gonzales,Republican,Texas's 23rd,Latin Catholic,,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594,G000594
Henry Cuellar,Democratic,Texas's 28th,Latin Catholic,,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063,C001063
Sylvia Garcia,Democratic,Texas's 29th,Latin Catholic,,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587,G000587
Vicente Gonzalez,Democratic,Texas's 34th,Latin Catholic,,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581,G000581
Greg Casar,Democratic,Texas's 35th,Latin Catholic,,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131,C001131
Jen Kiggans,Republican,Virginia's 2nd,Latin Catholic,,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399,K000399
Ben Cline,Republican,Virginia's 6th,Latin Catholic,,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118,C001118
Gerry Connolly,Democratic,Virginia's 11th,Latin Catholic,,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078,C001078
Alex Mooney,Republican,West Virginia's 2nd,Latin Catholic,,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195,M001195
Bryan Steil,Republican,Wisconsin's 1st,Latin Catholic,,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213,S001213
Scott L. Fitzgerald,Republican,Wisconsin's 5th,Latin Catholic,,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471,F000471
Mike Gallagher,Republican,Wisconsin's 8th,Latin Catholic,,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579,G000579
Darrell Issa,Republican,California's 48th,Antiochian Orthodox,,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056,I000056
Gus Bilirakis,Republican,Florida's 12th,Greek Orthodox,,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257,B001257
John Sarbanes,Democratic,Maryland's 3rd,Greek Orthodox,,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168,S001168
Chris Pappas,Democratic,New Hampshire's 1st,Greek Orthodox,,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614,P000614
Nicole Malliotakis,Republican,New York's 11th,Greek Orthodox,,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317,M000317
Dina Titus,Democratic,Nevada's 1st,Greek Orthodox,,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468,T000468
Mary Peltola,Democratic,Alaska's at-large,Russian Orthodox,,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619,P000619
Victoria Spartz,Republican,Indiana's 5th,Unspecified Eastern Orthodox,,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929,S000929
Andy Biggs,Republican,Arizona's 5th,The Church of Jesus Christ of Latter-day Saints,,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302,B001302
Mike Simpson,Republican,Idaho's 2nd,The Church of Jesus Christ of Latter-day Saints,,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148,S001148
Blake Moore,Republican,Utah's 1st,The Church of Jesus Christ of Latter-day Saints,,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213,M001213
Celeste Maloy,Republican,Utah's 2nd,The Church of Jesus Christ of Latter-day Saints,,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228,M001228
John Curtis,Republican,Utah's 3rd,The Church of Jesus Christ of Latter-day Saints,,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114,C001114
Burgess Owens,Republican,Utah's 4th,The Church of Jesus Christ of Latter-day Saints,,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086,O000086
Anna Paulina Luna,Republican,Florida's 13th,Messianic Jewish,Self-describes as a Christian,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596,L000596
Adam Schiff,Democratic,California's 30th,Jewish,,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150,S001150
Brad Sherman,Democratic,California's 32nd,Jewish,,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344,S000344
Sara Jacobs,Democratic,California's 51st,Jewish,,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305,J000305
Lois Frankel,Democratic,Florida's 22nd,Jewish,,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462,F000462
Jared Moskowitz,Democratic,Florida's 23rd,Jewish,,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217,M001217
Debbie Wasserman Schultz,Democratic,Florida's 25th,Jewish,,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797,W000797
Jan Schakowsky,Democratic,Illinois's 9th,Jewish,,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145,S001145
Brad Schneider,Democratic,Illinois's 10th,Jewish,,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190,S001190
Jamie Raskin,Democratic,Maryland's 8th,Jewish,,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606,R000606
Jake Auchincloss,Democratic,Massachusetts's 4th,Jewish,,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148,A000148
Elissa Slotkin,Democratic,Michigan's 7th,Jewish,,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208,S001208
Dean Phillips,Democratic,Minnesota's 3rd,Jewish,,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616,P000616
Josh Gottheimer,Democratic,New Jersey's 5th,Jewish,,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583,G000583
Dan Goldman,Democratic,New York's 10th,Jewish,,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599,G000599
Jerry Nadler,Democratic,New York's 12th,Jewish,,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002,N000002
Kathy Manning,Democratic,North Carolina's 6th,Jewish,,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135,M001135
Greg Landsman,Democratic,Ohio's 1st,Jewish,,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601,L000601
Max Miller,Republican,Ohio's 7th,Jewish,,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222,M001222
Suzanne Bonamici,Democratic,Oregon's 1st,Jewish,She was raised Episcopalian and Unitarian.,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278,B001278
Susan Wild,Democratic,Pennsylvania's 7th,Jewish,,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826,W000826
David Kustoff,Republican,Tennessee's 8th,Jewish,,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392,K000392
Steve Cohen,Democratic,Tennessee's 9th,Jewish,,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068,C001068
Becca Balint,Democratic,Vermont's at-large,Jewish,,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318,B001318
Kim Schrier,Democratic,Washington's 8th,Jewish,,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216,S001216
André Carson,Democratic,Indiana's 7th,Sunni Islam,Raised Baptist and attended a Catholic school.,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072,C001072
Rashida Tlaib,Democratic,Michigan's 12th,Sunni Islam,,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481,T000481
Ilhan Omar,Democratic,Minnesota's 5th,Islam,,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173,O000173
Ami Bera,Democratic,California's 6th,Unitarian Universalism,"Raised Hindu. Reportedly ""samples different churches every Sunday.""",B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287,B001287
Judy Chu,Democratic,California's 28th,Unitarian Universalism,"In a previous survey, Chu did not answer the religion question.",C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080,C001080
Deborah K. Ross,Democratic,North Carolina's 2nd,Unitarian Universalism,,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305,R000305
